data_type,lat,lon,event_date,details
disaster,-6.689371525434,18.081626569367,2026-07-19 19:00:00+00:00,Wildfire in The Democratic Republic of Congo 1029605 (Wildfires)
disaster,-14.494538407089,22.385225867268,2026-07-19 19:00:00+00:00,Wildfire in Zambia 1029619 (Wildfires)
disaster,44.388664573418,-121.51377883157,2026-07-19 19:00:00+00:00,Wildfire in United States 1029631 (Wildfires)
disaster,34.524969810843,-1.565768571381,2026-07-19 19:00:00+00:00,Wildfire in Algeria 1029606 (Wildfires)
disaster,-9.0339217572814,22.024570170219,2026-07-19 19:00:00+00:00,Wildfire in The Democratic Republic of Congo 1029629 (Wildfires)
disaster,-3.501910929777,23.324666030607,2026-07-19 19:00:00+00:00,Wildfire in The Democratic Republic of Congo 1029652 (Wildfires)
disaster,-17.33771707494,21.317243985833,2026-07-19 19:00:00+00:00,Wildfire in Angola 1029653 (Wildfires)
disaster,-8.5858786002091,19.06015172975,2026-07-19 19:00:00+00:00,Wildfire in Angola 1029654 (Wildfires)
disaster,-3.5560109551315,23.264017872206,2026-07-19 19:00:00+00:00,Wildfire in The Democratic Republic of Congo 1029655 (Wildfires)
disaster,-2.3175596111442,23.382739012217,2026-07-19 19:00:00+00:00,Wildfire in The Democratic Republic of Congo 1029696 (Wildfires)
disaster,66.324986445329,-117.32236816549,2026-07-19 19:00:00+00:00,Wildfire in Canada 1029697 (Wildfires)
disaster,-4.0010180215656,23.182562043011,2026-07-19 19:00:00+00:00,Wildfire in The Democratic Republic of Congo 1029698 (Wildfires)
disaster,-3.9141240715934,23.934322763445,2026-07-19 19:00:00+00:00,Wildfire in The Democratic Republic of Congo 1029699 (Wildfires)
disaster,-10.272861776007,16.705234409322,2026-07-19 19:00:00+00:00,Wildfire in Angola 1029720 (Wildfires)
disaster,-17.011471104096,122.57129586851,2026-07-19 19:00:00+00:00,Wildfire in Australia 1029721 (Wildfires)
disaster,-10.425023568044,15.253324251937,2026-07-19 19:00:00+00:00,Wildfire in Angola 1029732 (Wildfires)
disaster,-12.824521767765,134.15636375571,2026-07-19 19:00:00+00:00,Wildfire in Australia 1029741 (Wildfires)
disaster,-14.44903718491,133.39846676465,2026-07-19 19:00:00+00:00,Wildfire in Australia 1029742 (Wildfires)
disaster,12.2,-112.1,2026-07-19 18:00:00+00:00,Hurricane Fausto (Severe Storms)
disaster,12.5,-113.6,2026-07-20 00:00:00+00:00,Hurricane Fausto (Severe Storms)
disaster,12.7,-115.2,2026-07-20 06:00:00+00:00,Hurricane Fausto (Severe Storms)
disaster,13.2,-116.0,2026-07-20 12:00:00+00:00,Hurricane Fausto (Severe Storms)
disaster,14.0,-116.6,2026-07-20 18:00:00+00:00,Hurricane Fausto (Severe Storms)
disaster,14.4,-117.0,2026-07-21 00:00:00+00:00,Hurricane Fausto (Severe Storms)
disaster,15.1,-117.6,2026-07-21 06:00:00+00:00,Hurricane Fausto (Severe Storms)
disaster,16.0,-118.4,2026-07-21 12:00:00+00:00,Hurricane Fausto (Severe Storms)
disaster,16.5,-119.5,2026-07-21 18:00:00+00:00,Hurricane Fausto (Severe Storms)
disaster,16.5,-120.0,2026-07-22 00:00:00+00:00,Hurricane Fausto (Severe Storms)
disaster,16.6,-120.4,2026-07-22 06:00:00+00:00,Hurricane Fausto (Severe Storms)
disaster,16.9,-121.0,2026-07-22 12:00:00+00:00,Hurricane Fausto (Severe Storms)
disaster,17.1,-121.5,2026-07-22 18:00:00+00:00,Hurricane Fausto (Severe Storms)
disaster,17.4,-122.4,2026-07-23 00:00:00+00:00,Hurricane Fausto (Severe Storms)
disaster,17.7,-123.5,2026-07-23 06:00:00+00:00,Hurricane Fausto (Severe Storms)
disaster,17.8,-124.8,2026-07-23 12:00:00+00:00,Hurricane Fausto (Severe Storms)
disaster,18.1,-126.2,2026-07-23 18:00:00+00:00,Hurricane Fausto (Severe Storms)
disaster,18.2,-127.7,2026-07-24 00:00:00+00:00,Hurricane Fausto (Severe Storms)
disaster,18.5,-129.2,2026-07-24 06:00:00+00:00,Hurricane Fausto (Severe Storms)
disaster,18.5,-130.6,2026-07-24 12:00:00+00:00,Hurricane Fausto (Severe Storms)
disaster,18.6,-132.0,2026-07-24 18:00:00+00:00,Hurricane Fausto (Severe Storms)
disaster,18.6,-133.3,2026-07-25 00:00:00+00:00,Hurricane Fausto (Severe Storms)
disaster,18.7,-134.5,2026-07-25 06:00:00+00:00,Hurricane Fausto (Severe Storms)
disaster,19.0,-135.9,2026-07-25 12:00:00+00:00,Hurricane Fausto (Severe Storms)
disaster,19.2,-137.0,2026-07-25 18:00:00+00:00,Hurricane Fausto (Severe Storms)
disaster,19.4,-138.2,2026-07-26 00:00:00+00:00,Hurricane Fausto (Severe Storms)
disaster,19.6,-139.2,2026-07-26 06:00:00+00:00,Hurricane Fausto (Severe Storms)
disaster,45.745867,-120.021548,2026-07-18 21:19:00+00:00,"Wildfire 518 SULLY, Gilliam, Oregon (Wildfires)"
disaster,42.241983,-115.131133,2026-07-18 19:25:00+00:00,"Wildfire Grassy Hills, Owyhee, Idaho (Wildfires)"
disaster,40.698456,-122.197625,2026-07-18 19:12:00+00:00,"Wildfire BROOK, Shasta, California (Wildfires)"
disaster,-6.1724640726788,18.717779381885,2026-07-18 19:00:00+00:00,Wildfire in The Democratic Republic of Congo 1029521 (Wildfires)
disaster,35.222483198869,0.34646139771137,2026-07-18 19:00:00+00:00,Wildfire in Algeria 1029519 (Wildfires)
disaster,-8.2657593900506,19.844834316527,2026-07-18 19:00:00+00:00,Wildfire in Angola 1029522 (Wildfires)
disaster,-10.005804955642,21.329968621872,2026-07-18 19:00:00+00:00,Wildfire in Angola 1029527 (Wildfires)
disaster,-23.796475835779,23.943265355467,2026-07-18 19:00:00+00:00,Wildfire in Botswana 1029528 (Wildfires)
disaster,-16.098756352885,136.94825062382,2026-07-18 19:00:00+00:00,Wildfire in Australia 1029520 (Wildfires)
disaster,66.774892404025,164.48102188473,2026-07-18 19:00:00+00:00,Wildfire in Russian Federation 1029523 (Wildfires)
disaster,-9.3414769193086,21.851043862609,2026-07-18 19:00:00+00:00,Wildfire in The Democratic Republic of Congo 1029524 (Wildfires)
disaster,36.804778379684,7.2392503409187,2026-07-18 19:00:00+00:00,Wildfire in Algeria 1029525 (Wildfires)
disaster,-17.760740698834,138.62125324554,2026-07-18 19:00:00+00:00,Wildfire in Australia 1029526 (Wildfires)
disaster,36.159043558524,3.8707891164095,2026-07-18 19:00:00+00:00,Wildfire in Algeria 1029529 (Wildfires)
disaster,-16.695659930516,128.28627488829,2026-07-18 19:00:00+00:00,Wildfire in Australia 1029530 (Wildfires)
disaster,65.306671430021,149.63977997728,2026-07-18 19:00:00+00:00,Wildfire in Russian Federation 1029607 (Wildfires)
disaster,-10.355063903004,22.195768228327,2026-07-18 19:00:00+00:00,Wildfire in Angola 1029608 (Wildfires)
disaster,-15.128108937691,142.24627731015,2026-07-18 19:00:00+00:00,Wildfire in Australia 1029632 (Wildfires)
disaster,-12.797361584034,136.41225213626,2026-07-18 19:00:00+00:00,Wildfire in Australia 1029633 (Wildfires)
disaster,-23.304229029844,22.735542429276,2026-07-18 19:00:00+00:00,Wildfire in Botswana 1029620 (Wildfires)
disaster,-3.4434993814907,23.728514777682,2026-07-18 19:00:00+00:00,Wildfire in The Democratic Republic of Congo 1029621 (Wildfires)
disaster,-16.762649029594,21.876531296097,2026-07-18 19:00:00+00:00,Wildfire in Angola 1029656 (Wildfires)
disaster,-12.737909309303,142.83784830116,2026-07-18 19:00:00+00:00,Wildfire in Australia 1029679 (Wildfires)
disaster,68.659928208515,156.86290546651,2026-07-18 19:00:00+00:00,Wildfire in Russian Federation 1029680 (Wildfires)
disaster,-13.645201007312,132.18047554182,2026-07-18 19:00:00+00:00,Wildfire in Australia 1029657 (Wildfires)
disaster,-7.9886420630905,19.055970275203,2026-07-18 19:00:00+00:00,"Wildfire in The Democratic Republic of Congo, Angola 1029700 (Wildfires)"
disaster,-3.5697795321426,23.73552758856,2026-07-18 19:00:00+00:00,Wildfire in The Democratic Republic of Congo 1029701 (Wildfires)
disaster,-3.9811370704486,23.315414356378,2026-07-18 19:00:00+00:00,Wildfire in The Democratic Republic of Congo 1029702 (Wildfires)
disaster,-16.16356402414,144.65694707497,2026-07-18 19:00:00+00:00,Wildfire in Australia 1029743 (Wildfires)
disaster,-14.8260118149,142.45306490503,2026-07-18 19:00:00+00:00,Wildfire in Australia 1029744 (Wildfires)
disaster,-12.389114570235,134.82076946932,2026-07-18 19:00:00+00:00,Wildfire in Australia 1029745 (Wildfires)
disaster,-8.635308933819,21.801137348496,2026-07-18 19:00:00+00:00,Wildfire in Angola 1029703 (Wildfires)
disaster,33.188917,-79.662533,2026-07-18 17:43:00+00:00,"Wildfire Horse Island, Berkeley, South Carolina (Wildfires)"
disaster,43.588417,-114.31795,2026-07-18 15:52:00+00:00,"Wildfire Ohio, Blaine, Idaho (Wildfires)"
disaster,40.618167,-120.303833,2026-07-18 14:11:00+00:00,"Wildfire BISCAR, Lassen, California (Wildfires)"
disaster,44.635333,-120.4985,2026-07-17 21:13:00+00:00,"Wildfire 0512 BOX SPRINGS, Jefferson, Oregon (Wildfires)"
disaster,46.576482,-118.567968,2026-07-17 19:33:00+00:00,"Wildfire WALLACE WALKER, Franklin, Washington (Wildfires)"
disaster,46.600003,-118.548791,2026-07-17 19:31:00+00:00,"Wildfire DEVIL&#039;S CANYON, Franklin, Washington (Wildfires)"
disaster,42.842667,-115.450333,2026-07-17 19:21:00+00:00,"Wildfire Sailor, Elmore, Idaho (Wildfires)"
disaster,26.4466667,-80.8444444,2026-07-17 19:18:00+00:00,"Wildfire BERGER (50), Palm Beach, Florida (Wildfires)"
disaster,-6.3869787976789,19.758620796814,2026-07-17 19:00:00+00:00,Wildfire in The Democratic Republic of Congo 1029544 (Wildfires)
disaster,-6.0624628026908,18.565367969796,2026-07-17 19:00:00+00:00,Wildfire in The Democratic Republic of Congo 1029595 (Wildfires)
disaster,-25.052912342774,24.031914304819,2026-07-17 19:00:00+00:00,Wildfire in Botswana 1029596 (Wildfires)
disaster,-8.2990722010545,26.148267355905,2026-07-17 19:00:00+00:00,Wildfire in The Democratic Republic of Congo 1029535 (Wildfires)
disaster,-8.0740670273907,20.174921166606,2026-07-17 19:00:00+00:00,Wildfire in Angola 1029538 (Wildfires)
disaster,47.163724703043,80.349614823485,2026-07-17 19:00:00+00:00,Wildfire in Kazakhstan 1029541 (Wildfires)
disaster,-9.5013634949104,21.464790155527,2026-07-17 19:00:00+00:00,Wildfire in Angola 1029574 (Wildfires)
disaster,44.716554116033,-120.2216308441,2026-07-17 19:00:00+00:00,Wildfire in United States 1029589 (Wildfires)
disaster,-9.0594516533946,19.891572184684,2026-07-17 19:00:00+00:00,Wildfire in Angola 1029533 (Wildfires)
disaster,64.620829327979,-115.71196716417,2026-07-17 19:00:00+00:00,Wildfire in Canada 1029534 (Wildfires)
disaster,-17.496227780852,20.616288402311,2026-07-17 19:00:00+00:00,Wildfire in Angola 1029539 (Wildfires)
disaster,-10.862669800199,-50.195968947338,2026-07-17 19:00:00+00:00,Wildfire in Brazil 1029542 (Wildfires)
disaster,63.12472110189,-120.87951647841,2026-07-17 19:00:00+00:00,Wildfire in Canada 1029550 (Wildfires)
disaster,62.041116145296,-121.21747391382,2026-07-17 19:00:00+00:00,Wildfire in Canada 1029554 (Wildfires)
disaster,-9.2712087733441,22.385676203464,2026-07-17 19:00:00+00:00,Wildfire in The Democratic Republic of Congo 1029555 (Wildfires)
disaster,63.515282974786,-121.22851514013,2026-07-17 19:00:00+00:00,Wildfire in Canada 1029566 (Wildfires)
disaster,44.067060869125,-120.47617935664,2026-07-17 19:00:00+00:00,Wildfire in United States 1029569 (Wildfires)
disaster,-7.6967925473657,19.661677783737,2026-07-17 19:00:00+00:00,Wildfire in Angola 1029570 (Wildfires)
disaster,-13.337791635418,141.92867192184,2026-07-17 19:00:00+00:00,Wildfire in Australia 1029572 (Wildfires)
disaster,63.492930842476,-119.25966404851,2026-07-17 19:00:00+00:00,Wildfire in Canada 1029573 (Wildfires)
disaster,63.467849973302,-121.78441034636,2026-07-17 19:00:00+00:00,Wildfire in Canada 1029576 (Wildfires)
disaster,59.550648641656,88.293382571467,2026-07-17 19:00:00+00:00,Wildfire in Russian Federation 1029579 (Wildfires)
disaster,-3.4564888681986,23.507526870521,2026-07-17 19:00:00+00:00,Wildfire in The Democratic Republic of Congo 1029580 (Wildfires)
disaster,44.861147572905,-120.21270486408,2026-07-17 19:00:00+00:00,Wildfire in United States 1029582 (Wildfires)
disaster,-10.698571704937,-46.623390347295,2026-07-17 19:00:00+00:00,Wildfire in Brazil 1029583 (Wildfires)
disaster,-7.3439687591956,18.469149983953,2026-07-17 19:00:00+00:00,Wildfire in The Democratic Republic of Congo 1029588 (Wildfires)
disaster,-14.84217297864,144.39746236232,2026-07-17 19:00:00+00:00,Wildfire in Australia 1029590 (Wildfires)
disaster,65.034148123578,-117.44071918733,2026-07-17 19:00:00+00:00,Wildfire in Canada 1029591 (Wildfires)
