event_id,disaster_title,category,event_date,lon,lat,source_url,primary_category,data_type
EONET_21566,Wildfire in Australia 1029636,Wildfires,2026-07-17 19:00:00+00:00,136.24991505481,-16.796656619037,https://www.gdacs.org/report.aspx?eventtype=WF&eventid=1029636,Wildfires,disaster
EONET_21567,Wildfire in Russian Federation 1029637,Wildfires,2026-07-17 19:00:00+00:00,156.92012127859,68.518441041659,https://www.gdacs.org/report.aspx?eventtype=WF&eventid=1029637,Wildfires,disaster
EONET_21568,Wildfire in Brazil 1029638,Wildfires,2026-07-17 19:00:00+00:00,-54.308682166612,-13.335375066438,https://www.gdacs.org/report.aspx?eventtype=WF&eventid=1029638,Wildfires,disaster
EONET_21569,Wildfire in Algeria 1029611,Wildfires,2026-07-17 19:00:00+00:00,7.5846897815264,36.910261092237,https://www.gdacs.org/report.aspx?eventtype=WF&eventid=1029611,Wildfires,disaster
EONET_21570,Wildfire in Canada 1029612,Wildfires,2026-07-17 19:00:00+00:00,-121.40438027626,49.84721711158,https://www.gdacs.org/report.aspx?eventtype=WF&eventid=1029612,Wildfires,disaster
EONET_21571,Wildfire in United States 1029614,Wildfires,2026-07-17 19:00:00+00:00,-118.26729103209,45.693482429948,https://www.gdacs.org/report.aspx?eventtype=WF&eventid=1029614,Wildfires,disaster
EONET_21572,Wildfire in Canada 1029615,Wildfires,2026-07-17 19:00:00+00:00,-119.45223955255,63.481105406098,https://www.gdacs.org/report.aspx?eventtype=WF&eventid=1029615,Wildfires,disaster
EONET_21573,Wildfire in Australia 1029616,Wildfires,2026-07-17 19:00:00+00:00,130.87403004015,-11.655101138636,https://www.gdacs.org/report.aspx?eventtype=WF&eventid=1029616,Wildfires,disaster
EONET_21574,Wildfire in Canada 1029617,Wildfires,2026-07-17 19:00:00+00:00,-117.64289169008,65.008399983348,https://www.gdacs.org/report.aspx?eventtype=WF&eventid=1029617,Wildfires,disaster
EONET_21625,Wildfire in Canada 1029658,Wildfires,2026-07-17 19:00:00+00:00,-118.11034989539,64.104322623153,https://www.gdacs.org/report.aspx?eventtype=WF&eventid=1029658,Wildfires,disaster
EONET_21626,Wildfire in Canada 1029660,Wildfires,2026-07-17 19:00:00+00:00,-115.80178250197,65.032873339782,https://www.gdacs.org/report.aspx?eventtype=WF&eventid=1029660,Wildfires,disaster
EONET_21627,Wildfire in The Democratic Republic of Congo 1029662,Wildfires,2026-07-17 19:00:00+00:00,18.581050712176,-7.6505182947571,https://www.gdacs.org/report.aspx?eventtype=WF&eventid=1029662,Wildfires,disaster
EONET_21628,Wildfire in The Democratic Republic of Congo 1029659,Wildfires,2026-07-17 19:00:00+00:00,18.077047661187,-6.6870292799699,https://www.gdacs.org/report.aspx?eventtype=WF&eventid=1029659,Wildfires,disaster
EONET_21629,Wildfire in The Democratic Republic of Congo 1029661,Wildfires,2026-07-17 19:00:00+00:00,23.626186599574,-3.567640160107,https://www.gdacs.org/report.aspx?eventtype=WF&eventid=1029661,Wildfires,disaster
EONET_21630,Wildfire in Canada 1029663,Wildfires,2026-07-17 19:00:00+00:00,-125.3137864542,52.67032281847,https://www.gdacs.org/report.aspx?eventtype=WF&eventid=1029663,Wildfires,disaster
EONET_21631,Wildfire in Canada 1029664,Wildfires,2026-07-17 19:00:00+00:00,-121.52460228477,61.688949107838,https://www.gdacs.org/report.aspx?eventtype=WF&eventid=1029664,Wildfires,disaster
EONET_21632,Wildfire in United States 1029665,Wildfires,2026-07-17 19:00:00+00:00,-121.50055969787,44.412495282751,https://www.gdacs.org/report.aspx?eventtype=WF&eventid=1029665,Wildfires,disaster
EONET_21633,Wildfire in The Democratic Republic of Congo 1029666,Wildfires,2026-07-17 19:00:00+00:00,23.52207279361,-3.5609436885765,https://www.gdacs.org/report.aspx?eventtype=WF&eventid=1029666,Wildfires,disaster
EONET_21634,Wildfire in Canada 1029667,Wildfires,2026-07-17 19:00:00+00:00,-121.80004222238,61.808595869027,https://www.gdacs.org/report.aspx?eventtype=WF&eventid=1029667,Wildfires,disaster
EONET_21635,Wildfire in Zambia 1029668,Wildfires,2026-07-17 19:00:00+00:00,24.673619144125,-13.210469597075,https://www.gdacs.org/report.aspx?eventtype=WF&eventid=1029668,Wildfires,disaster
EONET_21636,Wildfire in Zambia 1029669,Wildfires,2026-07-17 19:00:00+00:00,24.493563070104,-14.862696732009,https://www.gdacs.org/report.aspx?eventtype=WF&eventid=1029669,Wildfires,disaster
EONET_21637,Wildfire in The Democratic Republic of Congo 1029670,Wildfires,2026-07-17 19:00:00+00:00,18.643238889212,-7.1041238747838,https://www.gdacs.org/report.aspx?eventtype=WF&eventid=1029670,Wildfires,disaster
EONET_21638,Wildfire in Angola 1029671,Wildfires,2026-07-17 19:00:00+00:00,21.572231735173,-8.4207850125053,https://www.gdacs.org/report.aspx?eventtype=WF&eventid=1029671,Wildfires,disaster
EONET_21639,Wildfire in Canada 1029672,Wildfires,2026-07-17 19:00:00+00:00,-115.20325137056,64.868622549768,https://www.gdacs.org/report.aspx?eventtype=WF&eventid=1029672,Wildfires,disaster
EONET_21640,Wildfire in Mozambique 1029673,Wildfires,2026-07-17 19:00:00+00:00,34.549266923539,-17.943763570962,https://www.gdacs.org/report.aspx?eventtype=WF&eventid=1029673,Wildfires,disaster
EONET_21641,Wildfire in Canada 1029675,Wildfires,2026-07-17 19:00:00+00:00,-103.3494523291,55.548266145204,https://www.gdacs.org/report.aspx?eventtype=WF&eventid=1029675,Wildfires,disaster
EONET_21642,Wildfire in United States 1029676,Wildfires,2026-07-17 19:00:00+00:00,-120.80648268235,47.990617977908,https://www.gdacs.org/report.aspx?eventtype=WF&eventid=1029676,Wildfires,disaster
